SENTENCE,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
With AI at our disposal large amounts of data with rich information more complications and real-life clinical questions can be addressed in this arena,1,0,0.9999990000010001,0.041666664930555625,24,33.33333333333333,73.33333333333333,24,9,24,53,1,5.291666666666667
Currently two ML algorithms- genetic fuzzy finite state machine and PCA were implemented to build a model building solution,0,1,-0.9999990000010001,0.05263157617728546,19,31.57894736842105,61.83157894736842,19,7,19,39,0,5.526315789473684
These include a human activity recognition stage and a stroke onset detection stage,0,0,0.0,0.0,13,30.76923076923077,45.50769230769231,13,4,13,30,0,5.461538461538462
An alert stroke message is activated as soon as a movement significantly different from the normal pattern is recorded,0,0,0.0,0.0,19,21.052631578947366,55.62105263157895,19,6,19,38,0,5.2631578947368425
ML methods have been applied to neuroimaging data to assist disease evaluation and predicting stroke treatment for the diagnosis,0,0,0.0,0.0,19,31.57894736842105,63.83157894736842,19,7,19,46,0,5.7894736842105265
Patient Monitoring Today the market for AI-based patient monitoring is impressive and monetarily enticing,4,0,0.9999997500000625,0.2857142653061239,14,50.0,62.0,14,8,14,37,0,6.571428571428571
It is evolving with artificial sensors smart technologies and explores everything from brain-computer interfaces to nanorobotics,1,0,0.9999990000010001,0.06249999609375024,16,31.25,63.7,16,8,16,42,0,7.0625
Companies with their smart-watches have engaged people to perform remote monitoring even when they are not patients,0,0,0.0,0.0,17,23.52941176470588,55.411764705882355,17,7,17,38,0,5.823529411764706
An obvious place to start is with wearable and embedded sensors glucose monitors pulse monitors oximeters and ECG monitors,0,0,0.0,0.0,19,36.84210526315789,63.53684210526316,19,8,19,41,0,5.473684210526316
With patient monitoring becoming crucial AI finds numerous applications in chronic conditions intensive care units operating rooms emergency rooms and cardiac wards where timeless clinical decision-making can be measured in seconds,1,2,-0.33333322222225925,0.09677419042663901,31,45.16129032258064,110.46451612903225,31,15,31,80,0,6.483870967741935
More advances have started to gain traction like smart prosthetics and implants,4,0,0.9999997500000625,0.3333333055555579,12,16.666666666666664,38.266666666666666,12,3,12,24,0,5.666666666666667
These play an impeccable role in patient management post-surgery or rehabilitation,2,0,0.99999950000025,0.1818181652892577,11,45.45454545454545,50.981818181818184,11,5,11,29,0,6.545454545454546
Demographics laboratory results and vital signs can also be used to predict cardiac arrest transfer into the intensive care unit or even death,0,1,-0.9999990000010001,0.04347825897920613,23,17.391304347826086,63.75652173913044,23,4,23,46,0,5.217391304347826
In addition an interpretable machine-learning model can assist anesthesiologists in predicting hypoxaemia events during surgery,0,0,0.0,0.0,15,40.0,66.8,15,6,15,44,0,7.533333333333333
This suggests that with deep-learning algorithms raw patient-monitoring data could be better used to avoid information overload and alert overload while enabling more accurate clinical prediction and timely decision-making,3,0,0.9999996666667778,0.10344827229488716,29,41.37931034482759,105.35172413793103,29,12,29,77,0,6.689655172413793
Conclusion Considering the vast range of tasks that an AI can do it is evident that it holds deep potential in improving patient outcomes to skyrocketing levels,2,0,0.99999950000025,0.07407407133058995,27,25.925925925925924,74.37037037037037,27,8,27,51,0,4.962962962962963
Using sophisticated algorithms AI can bring a revolution in the healthcare sector,1,0,0.9999990000010001,0.08333332638888948,12,25.0,42.400000000000006,12,4,12,28,0,5.833333333333333
Even after facing challenges like whether the technology will be able to deliver the promises ethical measures training physicians to use it standard regulations etc the role of AI in transforming the clinical practices cannot be ignored,3,0,0.9999996666667778,0.07894736634349037,38,21.052631578947366,103.22105263157894,38,13,38,77,0,5.2894736842105265
The biggest challenge is the integration of AI in daily practice,0,0,0.0,0.0,11,27.27272727272727,36.50909090909091,11,3,11,22,0,4.909090909090909
All of these can be overcome and within that period the technologies will mature making the system far more enhanced and effective,3,0,0.9999996666667778,0.13636363016528952,22,18.181818181818183,59.27272727272728,22,6,22,42,0,4.954545454545454
Blackcoffer Insights 29 Sanskriti Sunderum and Aayushi Nauhwar SRCC Delhi University,0,0,0.0,0.0,11,54.54545454545454,55.418181818181814,11,6,11,25,0,6.7272727272727275
Human minds a fascination in itself carrying the potential of tinkering nature with the pixie dust intelligence creating and solving the mysteries and wonders with anything but admiration,4,1,0.599999880000024,0.17857142219387778,28,28.57142857142857,86.22857142857143,28,9,28,59,0,5.714285714285714
However no matter how captivating a human mind can be it could sometimes be appalled,1,1,0.0,0.13333332444444504,15,13.333333333333334,38.93333333333334,15,4,15,28,0,4.666666666666667
It could be the hunger or maybe the desire to want more to go beyond and unravel the limitations or maybe something like pure greed,2,3,-0.199999960000008,0.19999999200000032,25,16.0,58.800000000000004,25,4,25,44,0,4.28
Humans have never stopped and always keep evolving when it comes to intelligence and this is what makes them the supreme,2,0,0.99999950000025,0.09523809070294806,21,14.285714285714285,53.714285714285715,21,3,21,37,0,4.761904761904762
Intelligence calls out for supremacy and so what if there was to evolve something that opposed a challenge to the very human minds to their capabilities while making them question their own importance among themselves,2,0,0.99999950000025,0.057142855510204135,35,20.0,94.80000000000001,35,10,35,70,0,5.228571428571429
Artificial Intelligence came as a revolution havoc when it first came to the light,1,1,0.0,0.14285713265306196,14,21.428571428571427,41.371428571428574,14,3,14,29,0,4.928571428571429
The concept of making machines does work on their own like granting machines The Intelligence,3,0,0.9999996666667778,0.19999998666666757,15,6.666666666666667,39.866666666666674,15,3,15,29,0,5.266666666666667
The idea of making machines work like humans came back in the 19s,2,0,0.99999950000025,0.15384614201183525,13,7.6923076923076925,29.07692307692308,13,2,13,20,0,4.076923076923077
Back then people didnt believe in such a thing as making a non-living thing work think and carry tasks on its own not to mention to actually surpass humans themselves in those skills,2,0,0.99999950000025,0.060606058769513374,33,15.151515151515152,78.86060606060607,33,6,33,50,0,4.545454545454546
The facts are it did,0,0,0.0,0.0,5,0.0,8.0,5,0,5,6,0,3.2
By 1997,0,0,0.0,0.0,2,0.0,2.8000000000000003,2,0,2,0,0,3.0
The greatest chess player Garry Kasparov was defeated in a chess game by a machine and this is where exactly a top skilled human lost to a mere machine created by another who by himself couldve never defeated him,5,1,0.6666665555555741,0.1538461499013808,39,15.384615384615385,90.95384615384616,39,9,39,65,0,4.461538461538462
It was a rule of power of betterment of skills and the granted supremacy,1,0,0.9999990000010001,0.07142856632653098,14,14.285714285714285,34.51428571428571,14,2,14,21,0,4.214285714285714
Were AI and Machines just tools,0,0,0.0,0.0,6,0.0,12.4,6,1,6,11,0,4.333333333333333
Equipment,0,0,0.0,0.0,1,100.0,43.6,1,1,1,4,0,9.0
Something that helped an unskilled person with his mind and intelligence creates something that could do the skilled work for him with perfection and precision,5,1,0.6666665555555741,0.23999999040000036,25,20.0,71.60000000000001,25,7,25,47,0,5.4
Well initially it was however as time passed as humans got drawn to the puzzle of AI a lot changed,1,0,0.9999990000010001,0.04999999750000012,20,10.0,43.2,20,2,20,31,0,3.95
Human research went deeper and deeper and as a result the machines evolved with it,0,0,0.0,0.0,15,20.0,40.800000000000004,15,5,15,27,0,4.533333333333333
At present AI & Machines is a growing field,0,0,0.0,0.0,9,0.0,17.2,9,1,9,14,0,3.888888888888889
As it develops and improves it has become a part of the industrial revolution,1,0,0.9999990000010001,0.07142856632653098,14,28.57142857142857,42.22857142857143,14,5,14,27,0,4.571428571428571
In industries most of the laborious work that was once taken care of by humans was now replaced by machines,1,0,0.9999990000010001,0.04999999750000012,20,5.0,44.800000000000004,20,4,20,33,0,4.4
Naturally with the evolution in machines its precision mass productivity quality control time efficiencies and all the other factors made it a better choice,1,0,0.9999990000010001,0.041666664930555625,24,25.0,72.4,24,8,24,53,0,5.541666666666667
A choice over humans,0,0,0.0,0.0,4,25.0,18.0,4,1,4,8,0,4.25
This led to fear a fear of a not-so-distant future a future where maybe machines will be so evolved that theyll take over the need of a human employee leading to unemployment,2,2,0.0,0.12499999609375013,32,18.75,77.10000000000001,32,8,32,59,0,4.46875
With the population increase around the world it became the new tech threat for the labor market,0,1,-0.9999990000010001,0.05882352595155729,17,23.52941176470588,47.811764705882354,17,4,17,31,0,4.705882352941177
Then again... how true is it,0,0,0.0,0.0,7,14.285714285714285,16.914285714285715,7,1,7,9,0,3.2857142857142856
Does AI really oppose a threat,0,2,-0.99999950000025,0.33333327777778704,6,16.666666666666664,18.666666666666668,6,1,6,12,0,4.166666666666667
Will adapting to technology make millions of people lose their jobs,0,1,-0.9999990000010001,0.09090908264462885,11,36.36363636363637,41.34545454545455,11,4,11,22,0,5.181818181818182
Will it lead to mass unemployment,1,0,0.9999990000010001,0.16666663888889352,6,16.666666666666664,19.866666666666667,6,1,6,10,0,4.666666666666667
Will the machines really surpass humans,1,0,0.9999990000010001,0.16666663888889352,6,0.0,15.600000000000001,6,1,6,11,0,5.666666666666667
Will the creation take over the creator,0,0,0.0,0.0,7,28.57142857142857,27.02857142857143,7,2,7,14,0,4.714285714285714
No matter how fearful the future with AI may seem in reality it is not that scary,0,2,-0.99999950000025,0.11764705190311459,17,17.647058823529413,39.458823529411774,17,3,17,26,0,3.823529411764706
Truth is AI is the present reality it is the key that holds the power to unlock a whole next level of human evolution,0,0,0.0,0.0,24,8.333333333333332,50.13333333333333,24,2,24,37,0,3.9166666666666665
Technology is growing,0,0,0.0,0.0,3,33.33333333333333,21.733333333333334,3,1,3,6,0,6.333333333333333
There was a time where technology was just an idea but today that idea has been implemented its working and is carried out,0,0,0.0,0.0,23,13.043478260869565,54.017391304347825,23,5,23,41,0,4.3478260869565215
Nobody could stop the advancement and growth of Artificial Intelligence its a wave that is already flowing and we as the present generation and the generations to come to have to learn to learn to swim in this flow and avoid drowning,1,1,0.0,0.0476190464852608,42,16.666666666666664,99.86666666666667,42,7,42,75,1,4.571428571428571
Many jobs will be replaced by machines as AI evolves itll keep challenging human minds and their skills,0,1,-0.9999990000010001,0.055555552469135974,18,5.555555555555555,43.422222222222224,18,4,18,29,0,4.777777777777778
With the present COVID 19 situation contactless cashiers to robots delivering packages have already taken over the usual routine tasks,0,0,0.0,0.0,20,35.0,67.60000000000001,20,8,20,45,0,5.75
The jobs of Secretaries Schedulers and book-keeper are at risk too,0,1,-0.9999990000010001,0.09090908264462885,11,18.181818181818183,33.67272727272728,11,3,11,23,0,5.090909090909091
Manufacturing units agriculture food services retail transportation & logistic and hospitality are all a part of the AI-affected automation,0,0,0.0,0.0,19,36.84210526315789,70.33684210526316,19,9,19,51,0,6.368421052631579
At an estimation it is said that around 20 million jobs especially including manufacturing will be lost to robots,0,1,-0.9999990000010001,0.05263157617728546,19,31.57894736842105,57.83157894736842,19,6,19,37,0,5.0
As AI robotics 3D printing and genetics make their way in even the architects medical docs and music composers feel threatened by technology,0,0,0.0,0.0,23,26.08695652173913,66.43478260869566,23,7,23,43,0,5.130434782608695
Making us question that will AI even edge us out of our brain jobs too,0,0,0.0,0.0,15,6.666666666666667,30.66666666666667,15,1,15,26,3,3.7333333333333334
Now that can be terrifying,0,0,0.0,0.0,5,20.0,18.400000000000002,5,1,5,7,0,4.4
However as much as machines will be replacing few jobs theyll also be creating new jobs,0,0,0.0,0.0,16,18.75,42.300000000000004,16,4,16,25,0,4.5
With the economic growth innovation and investment around 133 million jobs are said to be generated,1,0,0.9999990000010001,0.06249999609375024,16,31.25,52.1,16,6,16,33,0,5.25
These newly enhanced jobs are to create benefits and amplify ones creativity strategy and entrepreneurial skills,2,0,0.99999950000025,0.12499999218750048,16,25.0,54.800000000000004,16,5,16,36,0,6.0625
So what is the catch,0,0,0.0,0.0,5,0.0,8.0,5,0,5,5,0,3.2
Well its the skills,1,0,0.9999990000010001,0.24999993750001562,4,0.0,7.6000000000000005,4,0,4,4,0,4.0
Even though AI is creating 3 times more jobs than it is destroying its the skills that count,0,0,0.0,0.0,18,11.11111111111111,41.24444444444445,18,2,18,27,0,4.166666666666667
AI surged in new job opportunities opportunities like Senior Data Scientist Mobile Application Developer and SEO specialist,1,0,0.9999990000010001,0.05882352595155729,17,35.294117647058826,63.31764705882354,17,8,17,48,0,6.294117647058823
These jobs were once never heard of but now with AI its born however to do these jobs or for its qualification one needs high-level skills and to acquire those skills can be an expensive and time-consuming task,0,2,-0.99999950000025,0.05263157756232691,38,15.789473684210526,90.31578947368422,38,6,38,68,0,4.552631578947368
The future generation might be able to cope up with it but the real struggle is to be faced by the present two generations,0,1,-0.9999990000010001,0.041666664930555625,24,12.5,53.800000000000004,24,3,24,39,0,4.125
Its the vulnerability between the skill gap and unemployment and the youths are the ones to be crushed the most,1,1,0.0,0.09999999500000024,20,15.0,50.400000000000006,20,3,20,33,0,4.6
Therefore as the advancement of AI becomes inevitable there remains no choice but to adapt learn equip ourselves and grow with it,0,1,-0.9999990000010001,0.045454543388429844,22,27.27272727272727,62.509090909090915,22,8,22,47,0,4.909090909090909
The companies have to work together to build an AI-ready workplace,1,0,0.9999990000010001,0.09090908264462885,11,27.27272727272727,37.309090909090905,11,4,11,23,0,5.090909090909091
They should collaborate with the government educators and non-profit organizations and work together to bring out policies that could help understand the technologies impacts faster while also providing the employees some security,2,0,0.99999950000025,0.06249999804687507,32,28.125,103.25,32,12,32,74,0,6.21875
The economic and business planning should be made considerable for minimizing the impact on local jobs and properly maximizing the opportunities,1,0,0.9999990000010001,0.04761904535147403,21,23.809523809523807,67.12380952380953,21,6,21,47,0,5.904761904761905
The employees should be provided with proper tools to carry along with the new opportunities while acquiring AI-based skills for their day-to-day work,2,0,0.99999950000025,0.08695651795841226,23,8.695652173913043,63.47826086956522,23,6,23,47,0,5.565217391304348
New skills should be identified and implemented for the upskilling and continual learning initiatives,0,0,0.0,0.0,14,21.428571428571427,48.971428571428575,14,6,14,34,0,6.285714285714286
Employees will have to maximize their Robotic Quotient and learn core skills,0,0,0.0,0.0,12,25.0,40.400000000000006,12,4,12,27,0,5.416666666666667
Theyll have to adapt to new working models and understand their roles in the coming future,0,0,0.0,0.0,16,12.5,41.0,16,2,16,27,0,4.6875
Howsoever its not like AI will totally take over control even though AI proves to be a better choice it still has its limitations at present,3,1,0.49999987500003124,0.15384614792899431,26,11.538461538461538,60.61538461538462,26,3,26,47,0,4.423076923076923
First its expensive secondly manufacturing machines in bulk is not good for the environment,1,1,0.0,0.14285713265306196,14,21.428571428571427,44.971428571428575,14,4,14,28,0,5.571428571428571
Machines are also very high maintenance therefore human labor will often come cheaper and so will be considered over machines,1,0,0.9999990000010001,0.04999999750000012,20,15.0,56.0,20,6,20,43,0,5.3
Underdeveloped countries will find it hard to equip their people with the upskilling and reskilling required for AI workplace and so for AI to play a role in those countries might take years,0,1,-0.9999990000010001,0.030303029384756687,33,15.151515151515152,82.06060606060606,33,9,33,64,0,4.787878787878788
AI can also be risky and unethical as its hard to figure out who to be held responsible for in cases where an AI went wrong,0,4,-0.9999997500000625,0.15384614792899431,26,11.538461538461538,53.81538461538462,26,3,26,40,0,3.769230769230769
No matter how advanced AI gets there are some skills where humans will always have an upper hand i,1,0,0.9999990000010001,0.05263157617728546,19,0.0,39.2,19,1,19,31,1,4.2105263157894735
e,0,0,0.0,0.0,1,0.0,0.4,1,0,1,0,0,1.0
soft skills,1,0,0.9999990000010001,0.499999750000125,2,0.0,4.4,2,0,2,2,0,5.0
Skills like teamwork communication creativity and critical thinking are something that AI hasnt been able to beat us up to yet and so the value of creativity leadership and emotional intelligence has increased,2,1,0.33333322222225925,0.09090908815427007,33,30.303030303030305,95.72121212121213,33,11,33,73,1,5.363636363636363
Although with machines coming in between humans causing the lack of human-to-human interaction the humans seem to fade away a little,0,1,-0.9999990000010001,0.04761904535147403,21,23.809523809523807,62.32380952380952,21,6,21,44,0,5.333333333333333
With this era comes the need for good leaders,1,0,0.9999990000010001,0.11111109876543349,9,11.11111111111111,22.444444444444446,9,1,9,15,0,4.111111111111111
